M8lcl_FP565814.1_prot_CBH22922.1_1_[gene=SRM_00001]_[protein=Hypothetical_protein]_[protein_id=CBH22922.1]_[location=25..150],6931711,23.483
M8lcl_FP565814.1_prot_CBH22923.1_2_[gene=dnaA]_[protein=Chromosomal_replication_initiator_protein_dnaA]_[protein_id=CBH22923.1]_[location=225..1799],6931564,636.336
"M8lcl_FP565814.1_prot_CBH22924.1_3_[gene=dnaN]_[protein=DNA_polymerase_III,_beta_chain]_[protein_id=CBH22924.1]_[location=1796..3064]",6931565,481.485
M8lcl_FP565814.1_prot_CBH22925.1_4_[gene=SRM_00004]_[protein=Hypothetical_protein]_[protein_id=CBH22925.1]_[location=3396..3527],6933587,21.9422
"M8lcl_FP565814.1_prot_CBH22926.1_5_[gene=SRM_00005]_[protein=RNA_polymerase_sigma_70_factor,_ECF_subfamily]_[protein_id=CBH22926.1]_[location=complement(4396..5031)]",6931567,114.775
M8lcl_FP565814.1_prot_CBH22927.1_6_[gene=SRM_00006]_[protein=SCO1/SenC_family_protein]_[protein_id=CBH22927.1]_[location=5369..6295],6931788,248.825
M8lcl_FP565814.1_prot_CBH22928.1_7_[gene=SRM_00007]_[protein=short_chain_dehydrogenase/reductase_(SDR)_family_protein]_[protein_id=CBH22928.1]_[location=complement(6363..7286)],6933982,79.337
M8lcl_FP565814.1_prot_CBH22929.1_8_[gene=rpe]_[protein=Ribulose_phosphate_3_epimerase]_[protein_id=CBH22929.1]_[location=complement(7406..8140)],6933586,282.337
M8lcl_FP565814.1_prot_CBH22930.1_9_[gene=SRM_00009]_[protein=Conserved_hypothetical_protein_containing_DUF156]_[protein_id=CBH22930.1]_[location=8163..8648],6934293,28.4906
M8lcl_FP565814.1_prot_CBH22931.1_10_[gene=SRM_00010]_[protein=Conserved_hypothetical_protein]_[protein_id=CBH22931.1]_[location=8702..9325],6932208,27.335
M8lcl_FP565814.1_prot_CBH22932.1_11_[gene=SRM_00011]_[protein=Conserved_hypothetical_protein]_[protein_id=CBH22932.1]_[location=complement(9374..10486)],6933809,26.1794
M8lcl_FP565814.1_prot_CBH22933.1_12_[gene=yajC]_[protein=Preprotein_translocase_subunit_YajC]_[protein_id=CBH22933.1]_[location=10985..11320],6933590,102.834
M8lcl_FP565814.1_prot_CBH22934.1_13_[gene=ribA]_[protein=Riboflavin_biosynthesis_protein_ribA]_[protein_id=CBH22934.1]_[location=11375..12622],6933591,531.561
"M8lcl_FP565814.1_prot_CBH22935.1_14_[gene=SRM_00014]_[protein=Conserved_hypothetical_protein,_membrane]_[protein_id=CBH22935.1]_[location=12675..12839]",6931674,24.6386
M8lcl_FP565814.1_prot_CBH22936.1_15_[gene=ComEC]_[protein=DNA_internalization_related_competence_protein_ComEC/Rec2]_[protein_id=CBH22936.1]_[location=complement(13506..15995)],6931594,347.436
M8lcl_FP565814.1_prot_CBH22937.1_16_[gene=nusB]_[protein=N_utilization_substance_protein_B_homolog]_[protein_id=CBH22937.1]_[location=16190..16672],6931593,176.022
M8lcl_FP565814.1_prot_CBH22938.1_17_[gene=pphA]_[protein=Serine/threonine_protein_phosphatase_1]_[protein_id=CBH22938.1]_[location=16725..17387],6931592,281.567
M8lcl_FP565814.1_prot_CBH22939.1_18_[gene=SRM_00018]_[protein=Conserved_hypothetical_protein_containing_GTP_binding_site]_[protein_id=CBH22939.1]_[location=17473..18567],6931590,499.59
M8lcl_FP565814.1_prot_CBH22940.1_19_[gene=SRM_00019]_[protein=Conserved_hypothetical_protein]_[protein_id=CBH22940.1]_[location=18726..19832],6931587,184.882
M8lcl_FP565814.1_prot_CBH22941.1_20_[gene=lolC]_[protein=Lipoprotein_releasing_system_transmembrane_protein_lolC]_[protein_id=CBH22941.1]_[location=19908..21167],6931586,410.609
M8lcl_FP565814.1_prot_CBH22942.1_21_[gene=comA]_[protein=Phosphosulfolactate_synthase]_[protein_id=CBH22942.1]_[location=21282..22103],6931585,306.605
M8lcl_FP565814.1_prot_CBH22943.1_22_[gene=rpmB]_[protein=50S_Ribosomal_protein_L28]_[protein_id=CBH22943.1]_[location=22033..22533],6931584,105.531
M8lcl_FP565814.1_prot_CBH22944.1_23_[gene=rpmG]_[protein=Ribosomal_protein_L33]_[protein_id=CBH22944.1]_[location=22608..22772],6931583,83.1889
M8lcl_FP565814.1_prot_CBH22945.1_24_[gene=SRM_00024]_[protein=Conserved_hypothetical_protein]_[protein_id=CBH22945.1]_[location=22776..22925],6931582,45.4394
"M8lcl_FP565814.1_prot_CBH22946.1_25_[gene=dnaB]_[protein=putative_replicative_DNA_helicase,_intein_containing]_[protein_id=CBH22946.1]_[location=complement(23685..26309)]",6931578,331.257
"M8lcl_FP565814.1_prot_CBH22947.1_26_[gene=dbh2]_[protein=DNA_polymerase_related_protein,bacteriophage_type]_[protein_id=CBH22947.1]_[location=complement(26424..27287)]",6931577,289.656
